date,employees
1990-01-01,1064.5
1990-02-01,1074.5
1990-03-01,1090.0
1990-04-01,1097.4
1990-05-01,1108.7
1990-06-01,1123.5
1990-07-01,1134.2
1990-08-01,1137.4
1990-09-01,1128.8
1990-10-01,1106.8
1990-11-01,1104.3
1990-12-01,1106.4
1991-01-01,1067.0
1991-02-01,1082.6
1991-03-01,1097.1
1991-04-01,1121.9
1991-05-01,1138.1
1991-06-01,1148.6
1991-07-01,1148.2
1991-08-01,1151.7
1991-09-01,1141.9
1991-10-01,1121.4
1991-11-01,1119.3
1991-12-01,1122.3
1992-01-01,1071.5
1992-02-01,1083.0
1992-03-01,1096.0
1992-04-01,1116.0
1992-05-01,1126.6
1992-06-01,1134.2
1992-07-01,1143.7
1992-08-01,1144.7
1992-09-01,1137.8
1992-10-01,1116.3
1992-11-01,1112.2
1992-12-01,1112.7
1993-01-01,1084.1
1993-02-01,1092.4
1993-03-01,1103.8
1993-04-01,1117.0
1993-05-01,1136.6
1993-06-01,1149.3
1993-07-01,1148.2
1993-08-01,1153.7
1993-09-01,1150.0
1993-10-01,1129.3
1993-11-01,1123.2
1993-12-01,1133.5
1994-01-01,1097.9
1994-02-01,1112.4
1994-03-01,1124.6
1994-04-01,1137.5
1994-05-01,1155.0
1994-06-01,1170.2
1994-07-01,1170.2
1994-08-01,1174.0
1994-09-01,1170.7
1994-10-01,1147.0
1994-11-01,1145.7
1994-12-01,1154.5
1995-01-01,1123.9
1995-02-01,1140.5
1995-03-01,1157.0
1995-04-01,1171.5
1995-05-01,1193.2
1995-06-01,1208.6
1995-07-01,1209.6
1995-08-01,1217.8
1995-09-01,1213.1
1995-10-01,1189.6
1995-11-01,1192.4
1995-12-01,1199.6
1996-01-01,1175.2
1996-02-01,1194.5
1996-03-01,1211.3
1996-04-01,1215.3
1996-05-01,1238.7
1996-06-01,1243.5
1996-07-01,1249.0
1996-08-01,1255.4
1996-09-01,1242.9
1996-10-01,1230.9
1996-11-01,1230.8
1996-12-01,1240.9
1997-01-01,1188.8
1997-02-01,1205.7
1997-03-01,1224.7
1997-04-01,1241.2
1997-05-01,1259.9
1997-06-01,1277.4
1997-07-01,1259.1
1997-08-01,1268.1
1997-09-01,1254.7
1997-10-01,1230.6
1997-11-01,1227.8
1997-12-01,1230.1
1998-01-01,1206.5
1998-02-01,1227.8
1998-03-01,1242.1
1998-04-01,1257.0
1998-05-01,1271.1
1998-06-01,1288.4
1998-07-01,1293.8
1998-08-01,1298.6
1998-09-01,1291.2
1998-10-01,1266.3
1998-11-01,1265.9
1998-12-01,1279.1
1999-01-01,1236.1
1999-02-01,1256.3
1999-03-01,1276.3
1999-04-01,1288.6
1999-05-01,1308.2
1999-06-01,1321.4
1999-07-01,1330.9
1999-08-01,1331.4
1999-09-01,1326.4
1999-10-01,1308.6
1999-11-01,1305.2
1999-12-01,1315.0
2000-01-01,1268.1
2000-02-01,1290.5
2000-03-01,1312.5
2000-04-01,1321.1
2000-05-01,1340.5
2000-06-01,1362.4
2000-07-01,1369.5
2000-08-01,1376.1
2000-09-01,1369.1
2000-10-01,1341.9
2000-11-01,1337.2
2000-12-01,1348.4
